pregunta,pregunta_limpia,respuesta,label
¿Cuáles son las formaciones más destacadas en la superficie de Marte?,ser formación mas destacado superficie marte,"Entre las formaciones más destacadas de la superficie de Marte se encuentran el monte Olimpo, el cañón Valles Marineris, la llanura de Acidalia Planitia, el cráter Gale y las dunas de arena del polo norte.",marte_superficie
¿Cómo se compararía la superficie de Marte con la de la Tierra?,comparar superficie marte tierra,"En general, la superficie de Marte se caracteriza por ser más seca, fría y árida que la de la Tierra. Mientras que la Tierra cuenta con una gran variedad de formas de relieve y ecosistemas, Marte tiene una geografía más uniforme y limitada en cuanto a la presencia de agua y vida.",marte_superficie
¿Cuántas misiones se han enviado a Marte?,cuanta misión haber enviar marte,"Hasta la fecha se han enviado más de 50 misiones a Marte, incluyendo orbitadores, rovers y módulos de aterrizaje.",marte_misiones
¿Qué países han enviado misiones a Marte?,país haber enviar misión marte,"Varios países han enviado misiones a Marte, incluyendo Estados Unidos, Rusia, Europa (a través de la Agencia Espacial Europea) y la India.",marte_misiones
¿Cuáles han sido las misiones más exitosas a Marte?,haber ser misión mas exitoso marte,"Las misiones más exitosas a Marte han sido aquellas que han logrado aterrizar con éxito y enviar datos y muestras del planeta, como la misión Mars Pathfinder de la NASA y el rover Curiosity.",marte_misiones
¿Qué tipos de misiones se han enviado a Marte?,tipo misión haber enviar marte,"Se han enviado varios tipos de misiones a Marte, incluyendo orbitadores, rovers y módulos de aterrizaje.",marte_misiones
¿En qué año se lanzó la primera misión a Marte?,año lanzo primero mision marte,"La primera misión a Marte fue la Mars 1 de la Unión Soviética en 1962, aunque no tuvo éxito. La primera misión exitosa a Marte fue la Mariner 4 de Estados Unidos en 1965.",marte_misiones
¿Cuándo fue la última misión exitosa a Marte?,ser ultimo mision exitoso marte,"La última misión exitosa a Marte fue la misión Tianwen-1 de China, que llegó al planeta en febrero de 2021.",marte_misiones
¿Cuál fue la misión más reciente a Marte?,ser mision mas reciente marte,"La misión más reciente a Marte fue la misión Mars 2020 de la NASA, que incluye el rover Perseverance y el helicóptero Ingenuity.",marte_misiones
¿Qué descubrimientos importantes se han hecho gracias a las misiones a Marte?,descubrimiento importante haber hacer gracias misión marte,"Las misiones a Marte han permitido descubrir evidencia de agua líquida en el pasado del planeta, identificar elementos clave para la vida, y estudiar su clima y geología.",marte_misiones
¿Hay planes para futuras misiones a Marte?,haber plan futuro misión marte,"Sí, hay varios planes para futuras misiones a Marte, incluyendo la misión Mars Sample Return de la NASA y la misión ExoMars de la Agencia Espacial Europea y Roscosmos.",marte_misiones
¿Cuál ha sido la misión más costosa a Marte?,haber ser mision mas costoso marte,"La misión más costosa a Marte hasta la fecha ha sido la misión Mars Science Laboratory de la NASA, que incluye el rover Curiosity. Se estima que su costo total es de alrededor de 2.5 mil millones de dólares.",marte_misiones
¿Quién descubrió Marte?,descubrio marte,"Marte fue descubierto por los antiguos, por lo que no hay un descubridor específico. Sin embargo, se cree que Galileo Galilei fue el primer científico en observar Marte a través de un telescopio en 1609.",marte_descubrimiento
¿Cómo fue descubierto Marte?,ser descubrir marte,"Marte ha sido conocido desde la antigüedad, pero fue hasta la invención del telescopio que se pudo observar con más detalle.",marte_descubrimiento
¿Cuándo se descubrió Marte?,descubrio marte,"La fecha exacta del descubrimiento de Marte es desconocida, pero se cree que fue hace unos 4,000 años por los antiguos astrónomos de Mesopotamia.",marte_descubrimiento
¿Por qué se dice que Marte fue descubierto por los antiguos?,decir marte ser descubrir antiguo,"Los antiguos creían que los movimientos de los planetas estaban relacionados con la voluntad de los dioses, por lo que Marte era considerado un objeto divino y por lo tanto, su descubrimiento se atribuye a los antiguos.",marte_descubrimiento
¿Qué civilizaciones antiguas observaron Marte?,civilización antiguo observar marte,"Los antiguos egipcios, babilonios, chinos y griegos fueron algunas de las civilizaciones que observaron Marte.",marte_descubrimiento
¿Cómo llamaban los antiguos a Marte?,llamar antiguo marte,"Los antiguos griegos llamaban a Marte 'Ares', en honor al dios de la guerra.",marte_descubrimiento
¿Qué descubrimientos importantes se han hecho sobre Marte en los últimos años?,descubrimiento importante haber hacer marte ultimo año,"En los últimos años se han descubierto ríos secos, lagos y depósitos de hielo en Marte, lo que sugiere que podría haber habido vida en el planeta en algún momento.",marte_descubrimiento
¿Cuál fue la primera nave en aterrizar en Marte?,ser primero nave aterrizar marte,La primera nave en aterrizar en Marte fue la Viking 1 en 1976.,marte_descubrimiento
¿Qué agencia espacial envió la primera nave a Marte?,agencia espacial enver primero nave marte,La NASA fue la agencia espacial que envió la primera nave a Marte.,marte_descubrimiento
¿Qué descubrimientos se hicieron en la primera misión a Marte?,descubrimiento hacer primero mision marte,"En la primera misión a Marte se descubrieron montañas, cañones y cráteres en la superficie del planeta.",marte_descubrimiento
¿Cuál es la masa de Júpiter?,ser masa jupiter,La masa de Júpiter es de aproximadamente 1.898 x 10 elevado a la 27 kilogramos.,jupiter_masa
¿Cuánta masa tiene Júpiter?,cuanta masa tener jupiter,Júpiter tiene una masa de alrededor de 1.898 x 10 elevado a la 27 kilogramos.,jupiter_masa
¿Cuál es la masa aproximada de Júpiter?,ser masa aproximado jupiter,La masa aproximada de Júpiter es de 1.898 x 10 elevado a la 27 kilogramos.,jupiter_masa
"Dime, ¿cuánto pesa Júpiter?",dimar cuanto pesar jupiter,Júpiter pesa alrededor de 1.898 x 10 elevado a la 27 kilogramos.,jupiter_masa
Quiero saber la masa de Júpiter,querer saber masa jupiter,La masa de Júpiter es de aproximadamente 1.898 x 10 elevado a la 27 kilogramos.,jupiter_masa
¿Sabes cuál es la masa de Júpiter?,saber ser masa jupiter,Júpiter tiene una masa de alrededor de 1.898 x 10 elevado a la 27 kilogramos.,jupiter_masa
¿Podrías decirme la masa de Júpiter?,podrias decirme masa jupiter,La masa aproximada de Júpiter es de 1.898 x 10 elevado a la 27 kilogramos.,jupiter_masa
Masa de Júpiter,masa jupiter,Júpiter pesa alrededor de 1.898 x 10 elevado a la 27 kilogramos.,jupiter_masa
"Júpiter, masa",jupiter masa,La masa de Júpiter es de aproximadamente 1.898 x 10 elevado a la 27 kilos.,jupiter_masa
Masa aproximada de Júpiter,masa aproximado jupiter,Júpiter tiene una masa de alrededor de 1.898 x 10 elevado a la 27 kilos.,jupiter_masa
¿Cuál es el tamaño de Júpiter?,ser tamaño jupiter,"Júpiter es el planeta más grande del sistema solar, su diámetro es de aproximadamente 139.822 kilómetros.",jupiter_tamaño
¿Qué tan grande es Júpiter?,grande ser jupiter,El tamaño de Júpiter es de aproximadamente 139.822 kilómetros de diámetro.,jupiter_tamaño
¿De qué tamaño es Júpiter?,tamaño ser jupiter,El diámetro de Júpiter es de alrededor de 139.822 kilómetros.,jupiter_tamaño
Dime el tamaño de Júpiter,dimar tamaño jupiter,Júpiter tiene un tamaño de aproximadamente 139.822 kilómetros de diámetro.,jupiter_tamaño
¿Cuánto mide Júpiter?,cuanto medir jupiter,"Comparado con la Tierra, Júpiter es 11 veces más grande en diámetro.",jupiter_tamaño
¿Cuánto es el diámetro de Júpiter?,cuanto ser diametro jupiter,El diámetro de Júpiter es mayor que cualquier otro planeta en el sistema solar.,jupiter_tamaño
¿Cuántos kilómetros mide Júpiter?,cuanto kilometro medir jupiter,"Júpiter es el planeta más grande del sistema solar, siendo su diámetro aproximadamente 11 veces el de la Tierra.",jupiter_tamaño
¿Qué tamaño tiene Júpiter comparado con la Tierra?,tamaño tener jupiter comparado tierra,Júpiter es el quinto planeta del sistema solar y el más grande en diámetro con 139.822 kilómetros.,jupiter_tamaño
¿Cuál es el diámetro de Júpiter en relación a otros planetas?,ser diametro jupiter relación planeta,"El diámetro ecuatorial de Júpiter es de 142.984  Kilometros , mientras que el diámetro polar es de 133.709  Kilometros .",jupiter_tamaño
¿Es Júpiter el planeta más grande del sistema solar?,ser jupiter planeta mas grande sistema solar,Júpiter es más grande que todos los planetas del sistema solar juntos.,jupiter_tamaño
¿Cuántas lunas tiene Júpiter?,cuanta luna tener jupiter,Júpiter tiene 79 lunas conocidas hasta ahora.,jupiter_lunas
¿Cuáles son las lunas más grandes de Júpiter?,ser luna mas grande jupiter,"Las cuatro lunas más grandes de Júpiter son Io, Europa, Ganímedes y Calisto.",jupiter_lunas
¿Qué sabemos sobre las lunas de Júpiter?,saber luna jupiter,Las lunas de Júpiter han sido estudiadas por naves espaciales como la Voyager y la Galileo. Sabemos que son cuerpos con superficies muy variadas y algunas tienen atmósferas delgadas.,jupiter_lunas
¿Cómo se llaman las lunas de Júpiter?,llamar luna jupiter,"Las lunas de Júpiter reciben nombres de los amantes, descendientes o compañeros de Zeus o Júpiter de la mitología romana o griega.",jupiter_lunas
Háblame sobre las lunas de Júpiter,hablamir luna jupiter,"Las lunas de Júpiter son muy diversas. Algunas tienen superficies cubiertas de cráteres, otras tienen superficies lisas y llanas, algunas tienen geiseres de hielo y otras tienen océanos subterráneos.",jupiter_lunas
¿Qué características tienen las lunas de Júpiter?,caracteristica tener luna jupiter,"De las 79 lunas de Júpiter, se cree que solo Europa, Ganímedes y Calisto podrían tener océanos subterráneos que podrían albergar vida.",jupiter_lunas
¿Cuántas lunas de Júpiter son habitables?,cuanta luna jupiter ser habitable,"Hasta el momento, cuatro lunas de Júpiter han sido visitadas por naves espaciales: Io, Europa, Ganímedes y Calisto.",jupiter_lunas
¿Cuántas lunas de Júpiter han sido visitadas por naves espaciales?,cuanta luna jupiter haber ser visitar nave espacial,Ganímedes es la luna más grande de Júpiter y también la más grande del sistema solar.,jupiter_lunas
¿Cuál es la luna más grande de Júpiter?,ser luna mas grande jupiter,La luna más pequeña de Júpiter es S/2003 J 2.,jupiter_lunas
¿Cuál es la luna más pequeña de Júpiter?,ser luna mas pequeño jupiter,Las lunas de Júpiter son de gran interés científico debido a su diversidad y a la posibilidad de que algunas puedan tener vida en sus océanos subterráneos.,jupiter_lunas
¿Cómo es la atmósfera de Júpiter?,ser atmosfera jupiter,"La atmósfera de Júpiter es muy densa y está compuesta principalmente de hidrógeno y helio, con trazas de metano, amoníaco, vapor de agua y otros gases.",jupiter_atmosfera
Descripción de la atmósfera de Júpiter,descripción atmosfera jupiter,"La atmósfera de Júpiter es una de las más dinámicas del sistema solar, con fenómenos como tormentas gigantes, vórtices y rayos.",jupiter_atmosfera
¿Qué gases componen la atmósfera de Júpiter?,gas componer atmosfera jupiter,La densidad de la atmósfera de Júpiter es aproximadamente 20 veces mayor que la de la Tierra.,jupiter_atmosfera
¿Cuál es la densidad de la atmósfera de Júpiter?,ser densidad atmosfera jupiter,"En la atmósfera de Júpiter se pueden observar fenómenos como la Gran Mancha Roja, vórtices polares y tormentas eléctricas.",jupiter_atmosfera
¿Qué fenómenos atmosféricos se pueden observar en Júpiter?,fenomeno atmosférico poder observar jupiter,"La temperatura de la atmósfera de Júpiter varía en función de la profundidad y la latitud, y puede alcanzar los -145grados centrigrados en algunas zonas.",jupiter_atmosfera
¿Cuál es la temperatura de la atmósfera de Júpiter?,ser temperatura atmosfera jupiter,La atmósfera de Júpiter es importante porque juega un papel fundamental en la regulación del clima y el magnetismo del planeta.,jupiter_atmosfera
